Sub_ID,Age,condition,glorp_type,glorp_adj,glorp,peebo_type,peebo_adj,peebo,tibu_type,tibu_adj,tibu,zib_type,zib_adj,zib,Size_correct,Feature_correct,total correct,comments,location,agegroup,posttest,broken,whole,shortest,longest,clean,dirty,tallest,shortest,wet,dry,biggest,smallest,smoothest,pointiest
102012_14,4.62,2-AA,Size,small,1,Feature,pointy,1,Size,long,0,Feature,dirty,1,1,1,2,,CDM,4.5--5.0,78.57,1,0,1,1,1,1,1,1,1,1,1,1,0,0
103012_03,4.67,1-BB,Feature,broken,1,Size,short,1,Size,long,1,Feature,dirty,1,2,2,4,being contrary in posttest,Bing,4.5--5.0,96.43,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1
111612_10,4.68,2-AB,Size,small,1,Feature,pointy,0,Size,long,1,Feature,dirty,1,2,1,3,,CDM,4.5--5.0,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1
120312_05,4.71,2-BB,Feature,broken,1,Size,short,1,Feature,wet,1,Size,tall,1,1,2,4,,Bing,4.5--5.0,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1
103012_01,4.79,1-BA,Feature,broken,1,Size,short,1,Size,long,1,Feature,dirty,1,2,2,4,,Bing,4.5--5.0,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101812_01,4.82,2-AA,Size,small,1,Feature,pointy,1,Size,long,1,Feature,dirty,1,2,2,4,,Bing,4.5--5.0,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1
111612_12,4.82,1-AA,Size,small,1,Feature,pointy,0,Feature,wet,1,Size,tall,0,1,1,2,,CDM,4.5--5.0,96.43,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1
102612_02,4.86,2-AA,Size,small,1,Feature,pointy,1,Size,long,1,Feature,dirty,1,2,2,4, costume,CDM,4.5--5.0,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1
111612_15,4.94,2-BA,Feature,broken,1,Size,short,1,Feature,wet,1,Size,tall,0,1,2,3,,CDM,4.5--5.0,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102012_09,4.97,2-BB,Feature,broken,1,Size,short,1,Feature,wet,0,Size,tall,0,1,1,2,,CDM,4.5--5.0,92.86,1,1,0,1,1,1,1,1,1,1,1,1,1,1
110912_01,4.99,1-AB,Size,small,1,Feature,pointy,1,Feature,wet,1,Size,tall,1,2,2,4,,CDM,4.5--5.0,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1
110912_03,4.99,1-AA,Size,small,1,Feature,pointy,1,Feature,wet,1,Size,tall,1,2,2,4,,CDM,4.5--5.0,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1
