Sub_ID,experimenter,Age,condition,book_type,glorp_type,glorp_adj,glorp,peebo_type,peebo_adj,peebo,tibu_type,tibu_adj,tibu,zib_type,zib_adj,zib,Size_correct,Feature_correct,total correct,agegroup,posttest,broken,whole,shortest,longest,clean,dirty,tallest,shortest,wet,dry,biggest,smallest,smoothest,pointiest
052113_04,ACH,4.98,1-BA,Paired,Feature,broken,1,Size,short,1,Size,long,1,Feature,dirty,1,2,2,4,4.5-5.0,100,,,,,,,,,,,,,,
052113_05,ACH,4.71,2-AA,Paired,Size,small,0,Feature,pointy,0,Size,long,1,Feature,dirty,1,1,1,2,4.5-5.0,100,,,,,,,,,,,,,,
052313_03,ACH,4.42,2-BB,Paired,Feature,broken,1,Size,short,1,Feature,wet,1,Size,tall,0,1,2,3,4.0-4.5,100,,,,,,,,,,,,,,
052313_04,ACH,4.25,2-BB,Paired,Feature,broken,1,Size,short,1,Feature,wet,0,Size,tall,0,1,1,2,4.0-4.5,71,,,,,,,,,,,,,,
052313_06,ACH,4.35,1-AA,Paired,Size,small,0,Feature,pointy,1,Feature,wet,1,Size,tall,0,1,1,2,4.0-4.5,100,,,,,,,,,,,,,,
052413_01,ACH,4.82,1-AB,Paired,Size,small,0,Feature,pointy,1,Feature,wet,1,Size,tall,0,0,2,2,4.5-5.0,100,,,,,,,,,,,,,,
052413_02,ACH,4.4,1-BB,Paired,Feature,broken,1,Size,short,0,Size,long,0,Feature,dirty,0,0,1,1,4.0-4.5,100,,,,,,,,,,,,,,
052413_03,ACH,4.26,1-BB,Paired,Feature,broken,1,Size,short,1,Size,long,1,Feature,dirty,1,2,2,4,4.0-4.5,100,,,,,,,,,,,,,,
052413_04,ACH,4.26,1-BA,Paired,Feature,broken,1,Size,short,0,Size,long,1,Feature,dirty,1,1,2,3,4.0-4.5,100,,,,,,,,,,,,,,
052413_05,ACH,4.66,2-BA,Paired,Size,small,1,Size,short,1,Feature,wet,1,Feature,dirty,1,2,2,4,4.5-5.0,100,,,,,,,,,,,,,,
052813_01,ACH,4.47,1-BA,Paired,Feature,broken,0,Size,short,1,Size,long,0,Feature,dirty,1,1,1,2,4.0-4.5,100,,,,,,,,,,,,,,
071513_01,JQ,4.04,2-AA,Paired,Size,small,1,Feature,pointy,0,Size,long,0,Feature,dirty,1,1,1,2,4.0-4.5,100,,,,,,,,,,,,,,
071513_02,JQ,4.48,2-AB,Paired,Size,small,0,Feature,pointy,0,Size,long,0,Feature,dirty,1,0,1,1,4.0-4.5,100,,,,,,,,,,,,,,
071513_03,JQ,4.59,2-AB,Paired,Size,small,0,Feature,pointy,1,Size,long,1,Feature,dirty,1,1,2,3,4.5-5.0,100,,,,,,,,,,,,,,
